Company Name,Job Title,Job Description,Job Date,Scraping data from page
Tandem Network,Digital Marketing Account Manager,"Tandem Network is your strategic digital marketing partner that will help you to transform and scale your business. Its main focus is automated influencer and content marketing services that help to connect brands and online influencers, manage and develop professional relationship and analyse campaigns performance. Itll help brands to make more intelligent marketing investment by enabling them to find more relevant influencers, automate campaign management process and measure ROI in real time. Influencers will benefit from wider network of potential clients and more relevant projects as well as an opportunity to build their personal brand.","03 March, 2022",926.0
Wartsila Eastern Africa Ltd,"Lead, Exploration and scouting, Digitalisation & Data","Wärtsilä Eastern Africa Limited was established in August 1997 to market and sell power plants and marine Engines in the Eastern Africa Region. (Kenya, Tanzania, Uganda, Eritrea, Rwanda, Sey...","03 March, 2022",926.0
Greenpeace,Digital Marketing Specialist,In developing our campaign strategies and policies we take great care to reflect our fundamental respect for democratic principles while seeking out solutions that will promote global social equity....,"03 March, 2022",926.0
Absa Bank Limited,Operations Analyst,"Absa Bank Limited (Absa) is a wholly owned subsidiary of Barclays Africa Group Limited. Absa offers personal and business banking, credit cards, corporate and investment banking, wealth and investment management as well as bancassurance.","03 March, 2022",927.0
Liquid Intelligent Technologies,Marketing Manager,"Liquid Intelligent Technologies is a leading connectivity, innovation and intelligent technology company across 13 countries, primarily in Eastern, Central and Southern Africa, that is building a digital future for Africa.Â","03 March, 2022",927.0
Unilever,CD Finance Operations -GT,"On any day, 2 billion people use Unilever products to look good, feel good and get more out of life - giving us a unique opportunity to build a brighter future.
Great products from our range of mor...","03 March, 2022",927.0
Walk In Solutions,Consumer & Market Insights Manager,"Our Mission
We are dedicated to earn the trust and loyalty of our Associates, Clients, customers, the communities in which we operate and by performing our work in accordance with this Code of Busine...","02 March, 2022",928.0
Educate!,Operations Officer,"Educate! works to transform education in Africa to teach youth to solve poverty for themselves and their communities.
Educate! provides youth with skills training in leadership, entrepreneurship an...","02 March, 2022",928.0
Komaza Kenya,Nursery Operations Coordinator,"Komaza works to unlock the potential of small-scale farmers to solve Africa's wood supply crisis. Collectively, small farmers possess limitless land and labor resources to plant billions of trees. Kom...","02 March, 2022",929.0
I&M Bank,Bancassurance Operations Manager,"I&M Bank is a wholly owned subsidiary of I&M Holdings Limited, a publicly quoted company at the Nairobi Securities Exchange (NSE). The bank possesses a rich heritage in banking.","02 March, 2022",929.0
Peoplelink Consultants Ltd,Sales and Marketing Manager,Peoplelink Consultants Ltd is a consultancy services company incorporated under the laws of Kenya.,"02 March, 2022",929.0
Cytonn Investments,Investments Analyst Internship,"Cytonn Investments is an investments and real estate company, with offices in Nairobi - Kenya and DC Metro area - U.S. We are primarily focused on offering alternative investment solutions to global i...","02 March, 2022",930.0
Safaricom Kenya,Principal Officer – Data Protection,"Safaricom is the leading provider of converged communication solutions in Kenya. In addition to providing a broad range of first-class products and services for Telephony, Broadband Internet and Financial services, Safaricom seeks to uplift the welfare of Kenyans through value-added services and support for community projects.","01 March, 2022",930.0
Vital Strategies,Kenya Coordinator - Data Impact Program,Vital Strategies helps governments strengthen their public health systems to contend with the most important and difficult health challenges. We design solutions that can scale rapidly and improve the...,"01 March, 2022",930.0
International Rescue Committee,"Deputy Director, Information Security Operations Centre","The International Rescue Committee is a global humanitarian aid, relief and development nongovernmental organization.","01 March, 2022",931.0
Cisco,High Touch Operations Manager (HTOM)- Uganda,"Cisco Systems, Inc. is an American multinational corporation technology company headquartered in San Jose, California, that designs, manufactures and sells networking equipment worldwide. It is the la...","01 March, 2022",931.0
InterIntel Technologies Limited,Technical Data Engineer Intern,"InterIntel Technologies is an IT company based in Nairobi with an array of services ranging from software development, payment aggregations on mobile, web and applications, loyalty programs, premium rate service provision (IVR, SMS, USSD) among others.","01 March, 2022",931.0
MediaPal,Marketing and Communications Lead,"MediaPal is an all-in-one tool for creating ads, managing when and where they'll run, and tracking how well your campaigns are performing","01 March, 2022",931.0
Glovo,Partner Operations Analyst,"Glovo is a Spanish start-up founded in Barcelona in 2015. It is an on-demand courier service that purchases, picks up, and delivers products ordered through its mobile app.[1] It aspires to be a multi-category lifestyle app with food delivery being the most popular offering","01 March, 2022",932.0
Johnson & Johnson,Market Access Manager,"At Johnson & Johnson, we believe good health is the foundation of vibrant lives, thriving communities and forward progress. That's why for more than 130 years, we have aimed to keep people well at every age and every stage of life.","01 March, 2022",932.0
Kenya Airways,Assistant Accountant – Credit Control,"Kenya Airways, the leading African airline flying to more African destinations than any other carrier, takes pride in being at the forefront of connecting Africa to the world and the World to Africa t...","28 February, 2022",932.0
Safaricom Kenya,M-Pesa Africa – Release Train Engineer – Financial Services - (22000113),"Safaricom is the leading provider of converged communication solutions in Kenya. In addition to providing a broad range of first-class products and services for Telephony, Broadband Internet and Financial services, Safaricom seeks to uplift the welfare of Kenyans through value-added services and support for community projects.","28 February, 2022",933.0
University of Maryland1,Data Clerk,"Driven by the pursuit of excellence, the University of Maryland has enjoyed a remarkable rise in accomplishment and reputation over the past two decades. By any measure, Maryland is now one of the nat...","28 February, 2022",933.0
Dalberg,Data Scientist,"Dalberg is committed to global development and innovation, and offers a variety of advisory services across the international development sector. Comprised of Dalberg Global Development Advisors, D. C...","28 February, 2022",933.0
Unilever,CD Excellence and Operations Manager,"On any day, 2 billion people use Unilever products to look good, feel good and get more out of life - giving us a unique opportunity to build a brighter future.
Great products from our range of mor...","28 February, 2022",934.0
Standard Chartered Bank Kenya,"Head, Policy & Governance: Consumer, Private and Business Banking Risk, AME & Europe - (2200004430)","Standard Chartered Kenya, whose official name is Standard Chartered Bank Kenya Limited, but is sometimes referred to as Stanchart Kenya, is a commercial bank in Kenya.","25 February, 2022",936.0
Sistema Biobolsa,Operations Engineer,"Sistema Biobolsa is a system that transforms the manure of animals into biogas and a potent, natural fertilizer. By inputting the manure in the system on a daily basis, you will be able to develop and grow your activities on the farm,","25 February, 2022",936.0
Deloitte Consulting,Data Management Unit Intern,"Deloitte Consulting is a leading provider of innovative development solutions to U.S. and international donors, foundations, governments, and Fortune 500 companies. With member firm presence in more t...","25 February, 2022",936.0
One Acre Fund,Kenya Workforce Management and Reporting Specialist,One Acre Fund is a nonprofit organization that supplies smallholder farmers in East Africa with asset-based financing and agriculture training services to reduce hunger and poverty.,"25 February, 2022",937.0
Standard Chartered Bank Kenya,"Human Resources Risk Specialist, Africa","Standard Chartered Kenya, whose official name is Standard Chartered Bank Kenya Limited, but is sometimes referred to as Stanchart Kenya, is a commercial bank in Kenya.","24 February, 2022",937.0
Centre for Health Solutions - Kenya (CHS),Data Officer,"Centre for Health Solutions - Kenya (CHS) is a local, not-for-profit organisation. We understand the local context, make use of local expertise and strategic partnerships to ensure we implement eviden...","24 February, 2022",938.0
Kwara,Data Analyst,"Kwara is a B2B fintech startup in Nairobi and Berlin with a unique mission, exceptional team and a global market. Our mission is to digitize Savings and Credit Unions in emerging markets that serve the 3 billion un- and underbanked population.","24 February, 2022",938.0
International Rescue Committee,Business Analyst,"The International Rescue Committee is a global humanitarian aid, relief and development nongovernmental organization.","24 February, 2022",939.0
Britam,Emerging Consumer Markets – Regional Sales Executive Contract - (2200000J),"Britam is a leading diversified financial services group, listed on the Nairobi Securities Exchange. The group has interests across the Eastern and Southern Africa region, with operations in Kenya, Ug...","24 February, 2022",939.0
GitLab Inc.,"Area Sales Manager, Mid-Market (West)","GitLab is a complete DevOps platform, delivered as a single application, fundamentally changing the way Development, Security, and Ops teams collaborate and build software. From idea to production, Gi...","24 February, 2022",939.0
Palladium International,"Senior Regional Manager, Africa, Data FI","Palladium develops and delivers solutions that create positive impact for communities, businesses, societies and economies. We transform lives and create enduring value by working with governments, co...","23 February, 2022",940.0
International Potato Center,"Risk, Safety & Security Officer","The International Potato Center, known by its Spanish acronym CIP, was founded in 1971 as a root and tuber research-for-development institution delivering sustainable solutions to the pressing world p...","23 February, 2022",940.0
Medair,Systems Analyst / Administrator,Medair is a humanitarian organisation inspired by Christian faith to relieve human suffering in some of the world’s most remote and devastated places. We bring relief and recovery to people in c...,"23 February, 2022",940.0
One Acre Fund,"Business Development Senior Analyst, Climate Finance",One Acre Fund is a nonprofit organization that supplies smallholder farmers in East Africa with asset-based financing and agriculture training services to reduce hunger and poverty.,"23 February, 2022",940.0
Microsoft,Partner/Channel Marketing Manager,"Microsoft Corporation (commonly referred to as Microsoft or MS) is an American multinational technology company headquartered in Redmond, Washington, that develops, manufactures, licenses, supports an...","23 February, 2022",940.0
USAID,"Partnerships and Operations Manager, GS-14",The United States Agency for International Development is the United States Government agency which is primarily responsible for administering civilian foreign aid,"23 February, 2022",941.0
Access Bank Kenya,"Team Member, Operational Risk Management","Access Bank Plc is a full service commercial Bank operating through a network of about 366 branches and service outlets located in major centres across Africa and the United Kingdom. Listed on the Nigerian Stock Exchange in 1998, the Bank serves its various markets through 4 business segments: Personal, Business, Commercial and Corporate & Investment banking.","23 February, 2022",941.0
IQVIA,Senior Statistical Programmer homebased or hybrid working,"IQVIA, formerly Quintiles and IMS Health, Inc.,is an American multinational company serving the combined industries of health information technology and clinical research. It is a provider of biopharm...","23 February, 2022",941.0
Standard Chartered Bank Kenya,"Manager, Credit Initiation, Business Banking","Standard Chartered Kenya, whose official name is Standard Chartered Bank Kenya Limited, but is sometimes referred to as Stanchart Kenya, is a commercial bank in Kenya.","22 February, 2022",942.0
Equity Bank Kenya,Business Performance Manager,"Equity Bank Limited (The ""Bank”) is incorporated, registered under the Kenyan Companies Act Cap 486 and domiciled in Kenya. The address of the Bank’s registered office is 9th Floor, Equit...","22 February, 2022",942.0
Lami,Marketing Manager,We are transforming and democratizing insurance with our powerful platform solution. Our technology allows you to easily integrate any type of coverage into your enterprise.,"22 February, 2022",942.0
Sokowatch,Analytics Engineer,"Sokowatch enables informal retailers to order products at anytime via SMS or mobile app, and receive free same-day delivery to their store. This makes it easier for shopkeepers to source goods and helps manufacturers ensure that their products are consistently available to consumers.Â","22 February, 2022",942.0
Living Goods,Statistician (Analyst),"At Living Goods we empower people to improve the health of their families, friends and communities. Living Goods supports networks of 'Avon-like’ health entrepreneurs who go door to door to teac...","22 February, 2022",942.0
McKinsey & Company,Research Science Analyst - Banking Analytics,"McKinsey & Company is a global management consulting firm. We are the trusted advisor to the world's leading businesses, governments, and institutions.","22 February, 2022",943.0
Gulf African Bank,Business Analyst,"The genesis of Gulf African Bank (GAB) can be traced back to 2005, when a group of motivated Kenyans envisioned establishing an Islamic bank as an alternative to conventional banking in the country. B...","21 February, 2022",944.0
IQVIA,Senior Clinical Research Associate,"IQVIA, formerly Quintiles and IMS Health, Inc.,is an American multinational company serving the combined industries of health information technology and clinical research. It is a provider of biopharm...","21 February, 2022",944.0
Summit Human Resource & Marketing Consultant,Factory Operations Manager - Manufacturing,"Summit HR & Marketing Consulting team brings more years of combined experience in human resources consulting, strategy and management. Our consultants become an integral part of your management team, providing hands-on assistance with a variety of human resource concerns.","21 February, 2022",944.0
Tala (formerly InVenture),User Researcher,Tala (formerly InVenture) builds mobile products that help creditworthy individuals in emerging markets validate their financial identities and get access to fair credit to advance their businesses an...,"21 February, 2022",945.0
Red Dot Distribution,Marketing Designer,"Red Dot Distribution was born out of an ideology to Being a native East African Company, with a global vision to bridge the digital divide by providing technology solutions and allied services to Africa, through the integrity, professionalism and reliability of a highly motivated team, whose long term pursuit of fostering mutually beneficial relationships is unparalleled.","21 February, 2022",945.0
Medtronic,Marketing and Communications Specialist,"Medtronic (www.medtronic.com), is the global leader in medical technology - alleviating pain, restoring health and extending life for millions of people around the world. Medtronic's mission is: To co...","21 February, 2022",945.0
Nendo,Lead Researcher,"Nendo studies internet, mobile, and social media users across Africa. We are relentless in our desire to understand Silicon Savannah's citizens.Â At Nendo, we give our clients an informed opinion on how to win.","18 February, 2022",946.0
SunCulture Kenya Ltd,Business Intelligence Manager,"Since the sale of our first kit in 2013, SunCulture has been on a mission to help smallholder farmers in Africa improve both crop yields and quality. We are driven to constantly innovate and improve o...","18 February, 2022",946.0
Amref Kenya,"Manager, Project Operations","Amref Health Africa in Kenya is the country programme office of Amref Health Africa, Africa’s largest International Health NGO. This is the largest and oldest country programme in Africa with an...","18 February, 2022",946.0
Root Capital,Senior Climate Analyst,"Root Capital is an agricultural impact investor that grows rural prosperity in poor, environmentally vulnerable places in Africa and Latin America by lending capital, delivering financial training, an...","18 February, 2022",946.0
Platinum Outsourcing and Logistics,Data Center Electrical Service Delivery Engineer,"Platinum Outsourcing & Logistics (E.A) Ltd was founded and incorporated in 2010, to lead in provision of outsourcing and logistics services. We run a subsidiary company Chania Cleaners offering cl...","18 February, 2022",947.0
International Livestock Research Institute (ILRI),Research Associate I,The International Livestock Research Institute (ILRI) works to improve food security and reduce poverty in developing countries through research for better and more sustainable use of livestock. ILRI...,"18 February, 2022",947.0
General Electric - GE,Intern - Business Management & Market Analysis (Remote) (R3624328),"GE is building the world by providing capital, expertise and infrastructure for a global economy. GE Capital has provided billions in financing so businesses can build and grow their operations and co...","18 February, 2022",947.0
Samuel Hall,Research Manager – Children and Youth Pillar,Samuel Hall is an independent think tank specialised in field research and social impact. We strive to provide practicable insights to challenging issues in the developing world by providing academic-...,"18 February, 2022",948.0
Farsight Africa Group,Data Centre Engineer,"Founded in 2010, Farsight Africa Group is a leading full-service Pan-African communications company that delivers impactful solutions to companies, governments, development organisations and individua...","18 February, 2022",948.0
Winrock International,Regional Senior Accounting Analyst (French Speaker Required),"Winrock is a recognized leader in U.S. and international development with a focus on social and environmental issues. As a mission driven, field-based organization, we believe that sustainable develop...","18 February, 2022",948.0
Diageo,Data & Logistics Systems Manager,"Diageo is the world’s leading premium drinks company, a business built on the principles and foundations laid by the giants of our industry.","18 February, 2022",948.0
Family Bank Ltd,Senior Manager Data Protection,"Family Bank (formely Family Finance Building Society) was registered as a Building Society in October 1984 in Kenya, under the Building Societies Act and commenced operations in the early 1985. Family...","17 February, 2022",949.0
Twiva,Operations Intern,"Twiva is an influencer marketing and social commerce Startup that gives MSMEs affordable, efficient, and digital access to markets. This is done by leveraging social media influencers to market and se...","17 February, 2022",949.0
"Aga Khan Education Service, Kenya (AKESK)",Financial Analyst,"The Aga Khan Academy Nairobi is operated by Aga Khan Education Service Kenya (AKESK), a non-profit organization, with close to a hundred years’ experience operating schools in Kenya. Our first f...","17 February, 2022",950.0
N/A,"Director of Sales, Financial Solutions Africa","This company is looking to recruit qualified applicants for Director of Sales, Financial Solutions Africa role","17 February, 2022",950.0
World Food Programme (WFP),"Data Assurance Advisor (Cash Based Transfers – CBT), International Consultancy",The World Food Programme is the food assistance branch of the United Nations and the world's largest humanitarian organization addressing hunger and promoting food security.,"17 February, 2022",950.0
United States International University - USIU Africa,Attachment Marketing and Communication Department,"United States International University - Africa is located in the Kasarani area, off Thika Road in the suburb of Kenya’s capital city of Nairobi. The university is an independent, not-for-profit...","17 February, 2022",951.0
SWVL,Marketing brand Lead,This company is looking to recruit qualified applicants for Marketing brand Lead role,"17 February, 2022",951.0
SparkMeter,Operations and Strategic Project Manager,SparkMeter offers comprehensive low-cost metering solutions for everything from rural micro-grids to existing urban central grid utilities. Our products help make access to electricity possible in har...,"17 February, 2022",951.0
Nutrition International,Senior Monitoring and Reporting Officer (Maternity Cover),"Nutrition International (formerly the Micronutrient Initiative) is passionate about tackling one of the world’s greatest health issues: malnutrition. Recognized as global experts, we work around...","16 February, 2022",951.0
Childrens Investment Fund Foundation (CIFF),Head of SRHR Market Growth,"The Children’s Investment Fund Foundation (CIFF) is an independent philanthropic organisation headquartered in London with offices in Nairobi, New Delhi, and in Ethiopia. CIFF works with a wide...","16 February, 2022",951.0
Palladium International,"Senior Regional Manager, Africa, Data FI","Palladium develops and delivers solutions that create positive impact for communities, businesses, societies and economies. We transform lives and create enduring value by working with governments, co...","16 February, 2022",952.0
Metropol Corporation Ltd,Database Administrator,Metropol was established in Kenya in 1996 as a business Information and credit management company. In 2006 Metropol partnered with GCR to provide credit rating services that enable corporates to raise...,"16 February, 2022",952.0
Twiva,Creative Operations Assistant,"Twiva is an influencer marketing and social commerce Startup that gives MSMEs affordable, efficient, and digital access to markets. This is done by leveraging social media influencers to market and se...","16 February, 2022",952.0
Sidian Bank,IT Security Analyst,"At Sidian Bank, we recognize the significant accountability and inherent risks that an entrepreneur takes to make his ideas and dreams a reality.
It is for this reason that our mission is to empower entrepreneurs to create wealth through provision of transformational financial solutions that meet entrepreneurs needs and facilitate growth through convenience and choice.","16 February, 2022",953.0
World Bank Group,Associate Investment Officer,The World Bank Group (WBG) is a family of five international organizations that make leveraged loans to developing countries. It is the largest and most famous development bank in the world and is an...,"15 February, 2022",953.0
Yara International,Operations Manager,"What we do
Yara’s knowledge, products and solutions grow farmers’, distributors’ and industrial customers’ businesses profitably and responsibly while protecting the earth&r...","15 February, 2022",954.0
Reeds Africa Consult,Marketing Manager,"Reeds Africa consult (RAC) offers a broad scale of Human resource services designed to provide professional supports for the growing needs of today’s corporate organizations.
Our services inclu...","15 February, 2022",954.0
Jubilee Insurance,Data Protection Officer,"Jubilee Insurance was established in August 1937, as the first locally incorporated Insurance Company based in Mombasa in 1937. Jubilee Insurance has spread its sphere of influence throughout the regi...","15 February, 2022",954.0
Kobby Technologies Limited,Marketing Intern,"Kobby Technologies Limited is an Oracle Partner and it exceeds expectations. The company has established itself as an IT Organization offering Solutions, Services and Products.
The company has esta...","15 February, 2022",955.0
Kenya Medical Research - KEMRI,Assistant Principal Research Scientist - Bioinformatician,"Kenya Medical Research Institute (KEMRI) is a State Corporation established through the Science and Technology (Amendment) Act of 1979, which has since been amended to Science, Technology and Innovati...","15 February, 2022",955.0
Kenya Medical Research - KEMRI,Research Assistant,"Kenya Medical Research Institute (KEMRI) is a State Corporation established through the Science and Technology (Amendment) Act of 1979, which has since been amended to Science, Technology and Innovati...","15 February, 2022",955.0
Kenya Medical Research - KEMRI,Research Interns (2 Positions),"Kenya Medical Research Institute (KEMRI) is a State Corporation established through the Science and Technology (Amendment) Act of 1979, which has since been amended to Science, Technology and Innovati...","14 February, 2022",955.0
Educate!,Director of Africa Operations,"Educate! works to transform education in Africa to teach youth to solve poverty for themselves and their communities.
Educate! provides youth with skills training in leadership, entrepreneurship an...","14 February, 2022",956.0
Equity Bank Kenya,Senior Data Engineer,"Equity Bank Limited (The ""Bank”) is incorporated, registered under the Kenyan Companies Act Cap 486 and domiciled in Kenya. The address of the Bank’s registered office is 9th Floor, Equit...","14 February, 2022",956.0
Skills to Grow Africa,Marketing Communications Intern,"Skills to Grow Africa is a NITA certified social enterprise whose main focus is to deliver quality training in order to enhance career growth and behavior change.
Each trainee gets a mentor who wil...","14 February, 2022",956.0
Safaricom Kenya,Manager – Wholesale Pricing and Analysis,"Safaricom is the leading provider of converged communication solutions in Kenya. In addition to providing a broad range of first-class products and services for Telephony, Broadband Internet and Financial services, Safaricom seeks to uplift the welfare of Kenyans through value-added services and support for community projects.","14 February, 2022",957.0
GardaWorld,Head of Operations Kenya,"GardaWorld International Protective Services is the international security division of GardaWorld Security Corporation, the world's largest privately owned security company. Our services include stati...","14 February, 2022",957.0
Chipper Cash,"Product Marketing Manager, Referrals","Chipper Cash is the largest mobile cross-border money transfer platform in Africa. We are a small passionate team, dedicated to expanding financial inclusion in some of the global regions most in need...","14 February, 2022",958.0
African Resort International,Property Consultants/Business Development Executive/Digital Marketer/Outdoor Marketers,African Resort International was founded in 2014 to provide perfect vacation homes Locally and Internationally that members can simply enjoy without worrying about day to day managing of the property...,"14 February, 2022",958.0
Kenya Airways,Head of Technology Risk and Security,"Kenya Airways, the leading African airline flying to more African destinations than any other carrier, takes pride in being at the forefront of connecting Africa to the world and the World to Africa t...","14 February, 2022",958.0
Black Pen Recruitment,Data Analyst (Fintech/Cryptocurrency),"Black Pen Recruitment is South Africa's #1 recruitment consulting firm specialized in BPO services, foreign language recruitment and staffing solutions and immigration services. With our outstanding experience in the BPO industry and our own in-house immigration division, we will find the right candidates for foreign language specialist positions as well as immigration solutions for foreign employees.","14 February, 2022",958.0
Tala (formerly InVenture),"Lead Engineer, Markets (Kenya)",Tala (formerly InVenture) builds mobile products that help creditworthy individuals in emerging markets validate their financial identities and get access to fair credit to advance their businesses an...,"14 February, 2022",958.0
Zipline,"Fulfillment Operations Professional, Kenya",Zipline was founded to create the first logistics system that serves all humans equally. Our aim is to solve the world’s most urgent and complex access challenges. Leveraging expertise in roboti...,"14 February, 2022",958.0
Aga Khan University Hospital,Senior Administrative Assistant (Research Office),"Aga Khan University Hospitals in Karachi, Pakistan and Nairobi, Kenya are private, not-for-profit institutions providing high quality health care. The Main Hospitals serve as the principal sites for c...","14 February, 2022",958.0
CloudFactory,"Web Researchers, Audio Transcription, Data Transcription","CloudFactory is changing the way the world works by providing an on-demand, digital workforce for scaling critical business processes in the cloud.
We’re also on a mission to create meaningfu...","14 February, 2022",959.0
Micro Enterprises Support Programme Trust (MESPT),Digital Marketing Intern,"The overall objective of the Micro-Enterprises Support Programme Trust (MESPT) is to promote economic growth, employment creation and poverty alleviation through support to enterprises. MESPT works wi...","12 February, 2022",959.0
Mastercard Foundation,"Lead, Financial Planning & Analysis Public Affairs, Communications, People & Culture","The Mastercard Foundation seeks a world where everyone has the opportunity to learn and prosper.
All people, no matter where their starting point in life, should have an equal chance to succeed. We believe that with access to education, financial services, and skills training, people can have that chance.","11 February, 2022",959.0
DHL,Saloodo! Market Lead,"Our Vision, Our Mission, Our Strategy
Our vision is to be The Logistics Company for the World.
Our mission - Excellence. Simply Delivered. - is our guiding light.
Our Strategy 2020: Focus.Connect.G...","11 February, 2022",960.0
International Centre For Frugal Innovation,Research Assistant: Urban Resilience,The International Centre for Frugal Innovation (ICFI) is a multi-disciplinary academic research centre within the Leiden-Delft-Erasmus Universities alliance. At the ICFI we investigate frugal innovati...,"11 February, 2022",960.0
International Fertilizer Development Center (IFDC),Financial Inclusion Junior Consultant - 2SCALE,"We provide solutions to alleviate global hunger and poverty through
the promotion of economic development and self-sufficiency.","11 February, 2022",960.0
Kenya Revenue Authority (KRA),"Chief Manager – Quality Assurance, Compliance & Risk Management","The Kenya Revenue Authority (KRA) was established by an Act of Parliament, Chapter 469 of the laws of Kenya , which became effective on 1st July 1995 . The Authority is charged with the responsibility...","11 February, 2022",961.0
Tilisi Developments PLC,Head Of Marketing,"The Tilisi Masterplan has been designed to incorporate all the amenities and facilities to ensure you get the best of both worlds; An urban experience in a serene location.
As a master-planned and managed development with world-class infrastructure, Tilisi comprises of light industrial, residential, educational, medical, recreational, hospitality, commercial and retail uses, ultimately offering an all encompassing corporate and community experience.","11 February, 2022",961.0
GlaxoSmithKline Plc (GSK),Finance Analyst Partnering (12 months contract),"We are a science-led global healthcare company that researches and develops a broad range of innovative products in three primary areas of pharmaceuticals, vaccines and consumer healthcare.
As one...","11 February, 2022",961.0
Apollo Agriculture,Fraud Operations Associate,"Apollo helps farmers in emerging markets increase their profits. We use agronomic machine learning, remote sensing, and mobile technology to help farmers access credit, high-quality farm inputs, and c...","11 February, 2022",961.0
Digital Divide Data (DDD Kenya),Associate Machine Learning,"DDD believes talent has no boundaries--and opportunities shouldn’t either. In 2001, we saw the need to bring tech skills and living-wage work to men and women in underserved communities in Asia. It was here that DDD helped plant the seed for a socially responsible outsourcing practice known as impact sourcing.","11 February, 2022",961.0
Phatisa,Investment Team Analyst (French Speaking)I,"Phatisa is an African firm with deep roots in private equity, diversified capabilities and a well-respected track record.
Our investors and portfolio partners benefit from years of financial and op...","10 February, 2022",962.0
Due Process Consulting,Digital Marketing Specialist,"Due Process Consulting offers World-class Business Process Management [BPM] consultancy services, geared at improving quality, productivity and speed of delivery.","10 February, 2022",962.0
Mary’s Meals International,Programme Operations Lead,"Mary’s Meals provides one good meal to some of the world’s poorest children every school day.
Our work is named after Mary, the mother of Jesus, who brought up her own child in poverty. Mary’s Meals consists of, respects, and reaches out to people of all faiths and of none.","10 February, 2022",963.0
International Rescue Committee,Accounting Analyst,"The International Rescue Committee is a global humanitarian aid, relief and development nongovernmental organization.","10 February, 2022",963.0
Apollo Life Assurance - APA Insurance,Risk and Compliance Officer,"Apollo Group (Apollo Investments Limited)was an idea born from the need to harness synergies across the insurance business. Built on commitment, integrity and innovation, it has risen to be one of the...","10 February, 2022",964.0
Centum,Private Wealth Financial Advisor - Nabo Capital Ltd,"Centum is East Africa's leading investment company listed on the Nairobi Securities Exchange and Uganda Securities Exchange.
We are an investment channel providing investors with access to a portfo...","10 February, 2022",964.0
Britam,Corporate Pension Operations Associate,"Britam is a leading diversified financial services group, listed on the Nairobi Securities Exchange. The group has interests across the Eastern and Southern Africa region, with operations in Kenya, Ug...","10 February, 2022",964.0
African Gender and Media Initiative Trust,"Monitoring and Evaluation, Research and Learning Officer",The Africa Gender and Media Initiative (GEM Trust) is a cutting edge not for profit organization that works to advance gender equality through research and action on womens human rights. GEM TRUST beg...,"10 February, 2022",964.0
World Vision Kenya,Grants Compliance and Reporting Manager,"World Vision is an international Christian relief, development and advocacy organisation working in almost 100 countries world-wide to create lasting change in the lives of children, families and comm...","10 February, 2022",964.0
Bolt,Operations Specialist,"Bolt, previously known as Taxify, is the leading European transportation platform providing ride-hailing and scooter sharing services. The company’s mission is to make urban travel easier, quicker and more reliable","09 February, 2022",965.0
Livecode Technologies Limited,Digital Marketing Volunteer,This company is looking to recruit qualified applicants for Digital Marketing Volunteer role,"09 February, 2022",966.0
Musoni,System Analyst,"Musoni is derived from ""m-usoni” where ""m” stands for Mobile and ""usoni” is the Swahili word for Future, hence Mobile Future. Musoni is the future of high quality micro-financial ser...","09 February, 2022",966.0
Corteva,Marketing Specialist,"Corteva Agriscience is founded on the rich heritage of Dow, DuPont and Pioneer. We work with producers and consumers to create an agricultural ecosystem that naturally supports people, progress and the planet.We are driven to enrich the lives of those who produce and those who consume, ensuring progress for generations to come.","09 February, 2022",967.0
Sanergy,Assistant Business Analyst,"Sanergy is an award-winning social venture that builds healthy, prosperous communities by making hygienic sanitation accessible and affordable in Africa’s urban informal settlements. Our systems...","09 February, 2022",967.0
KPMG,Database Administrator,"KPMG is a professional service company, being one of the Big Four auditors, along with Deloitte, EY and PwC. Seated in Amsterdam, the Netherlands, KPMG employs 174,000 people and has three lines of se...","08 February, 2022",968.0
World Food Programme (WFP),SCOPE Service Operations Analyst,The World Food Programme is the food assistance branch of the United Nations and the world's largest humanitarian organization addressing hunger and promoting food security.,"08 February, 2022",969.0
Mastercard Foundation,"Lead, Financial Planning & Analysis Public Affairs, Communications, People & Culture","The Mastercard Foundation seeks a world where everyone has the opportunity to learn and prosper.
All people, no matter where their starting point in life, should have an equal chance to succeed. We believe that with access to education, financial services, and skills training, people can have that chance.","08 February, 2022",969.0
Jamii Telecommunications,Data Scientist,"Jamii Telecommunications Limited (JTL) is a privately owned Kenyan telecommunication service provider offering broadband and mobile services under the ""FAIBA"" brand.","07 February, 2022",970.0
Text Book Centre (TBC),Data Analyst,"Text Book Centre (TBC) is the biggest and most diversified book-seller in Africa. It was founded in 1964 as a partnership between two businessmen in Kenya, Mr. S V Shah and Mr. M J Rughani. TBC has over the years grown tremendously to become the leading bookstore chain in Kenya. Its retail, wholesale and distribution services have unrivalled capacity to meet the demands of Kenya's vibrant education sector.","07 February, 2022",970.0
Church World Service,Budget Reporting and Compliance Manager,"Church World Service (CWS) was founded in 1946 and is a cooperative ministry of 37 Christian denominations and communions, providing sustainable self-help, development, disaster relief, and refugee as...","07 February, 2022",971.0
BeautyClick,Online Advertising & Remarketing Specialist,"Founded in January 2015 Africanhair Ltd. sells dry hair products across Sub-Saharan Africa. Headquartered in Nairobi, Kenya, BeautyClick has the vision of being the leading provider of dry hair produc...","07 February, 2022",971.0
